module_path,leaf_name,component,layer_index,in_features,out_features,bias,n_params,requires_grad
thinker.audio_tower.layers.0.self_attn.k_proj,k_proj,AUDIO_ENCODER,0,896,896,True,803712,True
thinker.audio_tower.layers.0.self_attn.v_proj,v_proj,AUDIO_ENCODER,0,896,896,True,803712,True
thinker.audio_tower.layers.0.self_attn.q_proj,q_proj,AUDIO_ENCODER,0,896,896,True,803712,True
thinker.audio_tower.layers.0.self_attn.out_proj,out_proj,AUDIO_ENCODER,0,896,896,True,803712,True
thinker.audio_tower.layers.0.fc1,fc1,AUDIO_ENCODER,0,896,3584,True,3214848,True
thinker.audio_tower.layers.0.fc2,fc2,AUDIO_ENCODER,0,3584,896,True,3212160,True
thinker.audio_tower.layers.1.self_attn.k_proj,k_proj,AUDIO_ENCODER,1,896,896,True,803712,True
thinker.audio_tower.layers.1.self_attn.v_proj,v_proj,AUDIO_ENCODER,1,896,896,True,803712,True
thinker.audio_tower.layers.1.self_attn.q_proj,q_proj,AUDIO_ENCODER,1,896,896,True,803712,True
thinker.audio_tower.layers.1.self_attn.out_proj,out_proj,AUDIO_ENCODER,1,896,896,True,803712,True
thinker.audio_tower.layers.1.fc1,fc1,AUDIO_ENCODER,1,896,3584,True,3214848,True
thinker.audio_tower.layers.1.fc2,fc2,AUDIO_ENCODER,1,3584,896,True,3212160,True
thinker.audio_tower.layers.2.self_attn.k_proj,k_proj,AUDIO_ENCODER,2,896,896,True,803712,True
thinker.audio_tower.layers.2.self_attn.v_proj,v_proj,AUDIO_ENCODER,2,896,896,True,803712,True
thinker.audio_tower.layers.2.self_attn.q_proj,q_proj,AUDIO_ENCODER,2,896,896,True,803712,True
thinker.audio_tower.layers.2.self_attn.out_proj,out_proj,AUDIO_ENCODER,2,896,896,True,803712,True
thinker.audio_tower.layers.2.fc1,fc1,AUDIO_ENCODER,2,896,3584,True,3214848,True
thinker.audio_tower.layers.2.fc2,fc2,AUDIO_ENCODER,2,3584,896,True,3212160,True
thinker.audio_tower.layers.3.self_attn.k_proj,k_proj,AUDIO_ENCODER,3,896,896,True,803712,True
thinker.audio_tower.layers.3.self_attn.v_proj,v_proj,AUDIO_ENCODER,3,896,896,True,803712,True
thinker.audio_tower.layers.3.self_attn.q_proj,q_proj,AUDIO_ENCODER,3,896,896,True,803712,True
thinker.audio_tower.layers.3.self_attn.out_proj,out_proj,AUDIO_ENCODER,3,896,896,True,803712,True
thinker.audio_tower.layers.3.fc1,fc1,AUDIO_ENCODER,3,896,3584,True,3214848,True
